file_name,relative_path,source_folder,category,description,media_type,extension,width,height,duration_seconds,size_mb,suggested_use
VID_20260308_165713.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_165713.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,11.6,29.99,communication du club
VID_20260308_165732.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_165732.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,6.9,18.60,communication du club
VID_20260308_165809.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_165809.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,11.5,29.53,communication du club
VID_20260308_165840.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_165840.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,21.8,54.12,communication du club
VID_20260308_165904.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_165904.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,9.2,24.25,communication du club
VID_20260308_165916.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_165916.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,7.2,19.02,communication du club
VID_20260308_170743.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_170743.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,33.2,81.45,communication du club
VID_20260308_170819.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_170819.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,23.2,57.94,communication du club
VID_20260308_170903.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_170903.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,14.7,37.36,communication du club
VID_20260308_170920.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_170920.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,5.5,15.19,communication du club
